MAP INDEX,MUNICIPALITY,BARANGAY,LOT NO. ,SURVEY NO.,TCT NO.,TD NO. ,REGISTERED OWNER,AREA (SQM),AREA (HA),AGREEMENT GROUP,AGREEMENT DOC TYPE,PROPERTY DOCUMENT NO.,AGREEMENT TYPE,AGREEMENT AREA (SQM),AGREEMENT AREA (HA),PRICE/SQM,LAND VALUE,INFUSION STATUS,INFUSED AREA (SQM),INFUSION AREA (HA),INFUSION DATE,INFUSION YEAR,INFUSION REMARKS,INFUSION BATCH,DATE OF TITLE TRANSFER,ACQUISITION GROUP,ACQUISITION CLASS,LAND GROUP,ESTATE LANDS,CLEAN-UP BATCH,CLEAN-UP STATUS,CLEAN-UP TIMELINE,LEGAL REMARKS,TD CLASSIFICATION,DAR STATUS,DATE DAR GRANTED,DAR REFERENCE NO.,CERTIFICATE OF FINALITY,LIAISON REMARKS,CURRENT DOC TYPE,DOCUMENT CONTROL,GIS STATUS,GIS REMARKS,DATE UPDATED,UPDATE LOG,PROJECT,ZONAL VALUE,ZONAL VALUE PRICE/SQM,LAND VALUE PER CONTRACT,CONTRACT PRICE/SQM,PROJECT ALLOCATION,LAND USE CLASSIFICATION,BD INDEX,DOCUMENT LINK,IMAGE LINK
ALI-0001,SILANG,KAONG,1-A,, T-994470,18-0030-01464,"SIONG HUN SY, ALBERT LIM ET. AL",134972.4,13.49724,EXTERNAL LOTS,NOT INDICATED, T-994470,ADDITIONAL,134972.4,13.49724,1250,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,ALI,ALI - CONTROLLED,ALI,Not Included,,,More than 10 years,No remarks yet,RESIDENTIAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,14-Mar-24,,,809834400,6000,168715500,1250,No Project Allocation,TBD,518,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/3.%20AYALA%20LAND,%20INC/LOT%201-A,%20%20T-994470%20%20-%20SIONG%20HUN%20SY,%20ALBERT%20LIM%20ET%20AL?csf=1&web=1&e=JPXOTC",
ALI-0002,SILANG,KAONG,2-A,, 076-2015000521,18-0030-02198,LUCIANO DE JESUS SR. ,20035,2.0035,EXTERNAL LOTS,NOT INDICATED, 076-2015000521,ADDITIONAL,20035,2.0035,1595.744681,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,ALI,ALI - CONTROLLED,ALI,Not Included,,,More than 10 years,No remarks yet,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,14-Mar-24,,,44077000,2200,31970744.68,1595.744681,No Project Allocation,TBD,545,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/3.%20AYALA%20LAND,%20INC/LOT%202-A,%20%20076-2015000521%20%20-%20LUCIANO%20DE%20JESUS%20SR?csf=1&web=1&e=KWHOhb",
ALI-0003,SILANG,KAONG,10058,, 076-2022007474,18-0030-02835,CATHAY LAND INC. ,7960,0.796,EXTERNAL LOTS,NOT INDICATED, 076-2022007474,ADDITIONAL,7960,0.796,2200,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,ALI,ALI - CONTROLLED,ALI,Not Included,,,More than 10 years,No remarks yet,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,14-Mar-24,,,17512000,2200,17512000,2200,No Project Allocation,TBD,504,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/3.%20AYALA%20LAND,%20INC/LOT%2010058,%20%20076-2022007474%20%20-%20CATHAY%20LAND%20INC?csf=1&web=1&e=plj2Ad",
ALI-0004,SILANG,KAONG,10056,, 076-2022008896,18-0030-02839,CATHAY LAND INC. ,11933,1.1933,EXTERNAL LOTS,NOT INDICATED, 076-2022008896,ADDITIONAL,11933,1.1933,2200,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,ALI,ALI - CONTROLLED,ALI,Not Included,,,More than 10 years,No remarks yet,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,14-Mar-24,,,26252600,2200,26252600,2200,No Project Allocation,TBD,502,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/3.%20AYALA%20LAND,%20INC/LOT%2010056,%20%20076-2022008896%20%20-%20CATHAY%20LAND%20INC?csf=1&web=1&e=ci4bvy",
ALI-0005,SILANG,KAONG,2-B,PSU-7926-AMD,076-2016004936,,AYALALAND INC,19325,1.9325,EXTERNAL LOTS,NOT INDICATED,076-2016004936,ADDITIONAL,19325,1.9325,1477.489314,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,ALI,ALI - CONTROLLED,ALI,Not Included,,,More than 10 years,No remarks yet,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,PLOTTED FROM PLAN,15-Mar-24,,,42515000,2200,28552481,1477.489314,No Project Allocation,TBD,546,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/3.%20AYALA%20LAND,%20INC/LOT%2010056,%20%20076-2022008896%20%20-%20CATHAY%20LAND%20INC?csf=1&web=1&e=AhphTq",
CGAP-0001,CARMONA, ,1064,,O-4377,04-0010-00660,"BAYLON, FRANCISCO",7787,0.7787,EXTERNAL LOTS,NOT INDICATED,O-4377,ORIGINAL,7787,0.7787,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,DUPLICATE TO MJCI-0005,,,,19467500,2500,10123100,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0002,CARMONA, ,1521,,No Title,04-0010-00662,"CARILLO, CLEOTILDE",2633,0.2633,EXTERNAL LOTS,NOT INDICATED,04-0010-00662,ORIGINAL,2633,0.2633,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,6582500,2500,3422900,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0003,CARMONA, ,1069,,No Title,04-0010-00505,"MACHA (ET AL), PORFIRIO (GATCHALIAN)",35596,3.5596,EXTERNAL LOTS,NOT INDICATED,04-0010-00505,ORIGINAL,35596,3.5596,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,88990000,2500,46274800,1300,No Project Allocation,TBD,73,,
CGAP-0004,CARMONA, ,  1074-B,,No Title,04-0010-00507,"LAURITO, PERPETUO (AWARDEE)",7594,0.7594,EXTERNAL LOTS,NOT INDICATED,04-0010-00507,ORIGINAL,7594,0.7594,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,18985000,2500,9872200,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0005,CARMONA, ,  1073-P,,No Title,04-0010-00535,"MACHA, PORFIRIO M/TO DOLORES D (GATCHALIAN)",16878,1.6878,EXTERNAL LOTS,NOT INDICATED,04-0010-00535,ORIGINAL,16878,1.6878,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,42195000,2500,21941400,1300,No Project Allocation,TBD,No ID/Unmapped,,
